Well,Row,Row Number,Column
A1,A,1,1
A2,A,1,2
A3,A,1,3
A4,A,1,4
A5,A,1,5
A6,A,1,6
A7,A,1,7
A8,A,1,8
A9,A,1,9
A10,A,1,10
A11,A,1,11
A12,A,1,12
B1,B,2,1
B2,B,2,2
B3,B,2,3
B4,B,2,4
B5,B,2,5
B6,B,2,6
B7,B,2,7
B8,B,2,8
B9,B,2,9
B10,B,2,10
B11,B,2,11
B12,B,2,12
C1,C,3,1
C2,C,3,2
C3,C,3,3
C4,C,3,4
C5,C,3,5
C6,C,3,6
C7,C,3,7
C8,C,3,8
C9,C,3,9
C10,C,3,10
C11,C,3,11
C12,C,3,12
D1,D,4,1
D2,D,4,2
D3,D,4,3
D4,D,4,4
D5,D,4,5
D6,D,4,6
D7,D,4,7
D8,D,4,8
D9,D,4,9
D10,D,4,10
D11,D,4,11
D12,D,4,12
E1,E,5,1
E2,E,5,2
E3,E,5,3
E4,E,5,4
E5,E,5,5
E6,E,5,6
E7,E,5,7
E8,E,5,8
E9,E,5,9
E10,E,5,10
E11,E,5,11
E12,E,5,12
F1,F,6,1
F2,F,6,2
F3,F,6,3
F4,F,6,4
F5,F,6,5
F6,F,6,6
F7,F,6,7
F8,F,6,8
F9,F,6,9
F10,F,6,10
F11,F,6,11
F12,F,6,12
G1,G,7,1
G2,G,7,2
G3,G,7,3
G4,G,7,4
G5,G,7,5
G6,G,7,6
G7,G,7,7
G8,G,7,8
G9,G,7,9
G10,G,7,10
G11,G,7,11
G12,G,7,12
H1,H,8,1
H2,H,8,2
H3,H,8,3
H4,H,8,4
H5,H,8,5
H6,H,8,6
H7,H,8,7
H8,H,8,8
H9,H,8,9
H10,H,8,10
H11,H,8,11
H12,H,8,12
