Well,Row,Row Number,Column,Quadrant,Ounce
A1,A,1,1,1,1
A2,A,1,2,2,5
A3,A,1,3,1,2
A4,A,1,4,2,6
A5,A,1,5,1,1
A6,A,1,6,2,5
A7,A,1,7,1,2
A8,A,1,8,2,6
A9,A,1,9,1,1
A10,A,1,10,2,5
A11,A,1,11,1,2
A12,A,1,12,2,6
A13,A,1,13,1,1
A14,A,1,14,2,5
A15,A,1,15,1,2
A16,A,1,16,2,6
A17,A,1,17,1,1
A18,A,1,18,2,5
A19,A,1,19,1,2
A20,A,1,20,2,6
A21,A,1,21,1,1
A22,A,1,22,2,5
A23,A,1,23,1,2
A24,A,1,24,2,6
A25,A,1,25,1,1
A26,A,1,26,2,5
A27,A,1,27,1,2
A28,A,1,28,2,6
A29,A,1,29,1,1
A30,A,1,30,2,5
A31,A,1,31,1,2
A32,A,1,32,2,6
A33,A,1,33,1,1
A34,A,1,34,2,5
A35,A,1,35,1,2
A36,A,1,36,2,6
A37,A,1,37,1,1
A38,A,1,38,2,5
A39,A,1,39,1,2
A40,A,1,40,2,6
A41,A,1,41,1,1
A42,A,1,42,2,5
A43,A,1,43,1,2
A44,A,1,44,2,6
A45,A,1,45,1,1
A46,A,1,46,2,5
A47,A,1,47,1,2
A48,A,1,48,2,6
B1,B,2,1,3,9
B2,B,2,2,4,13
B3,B,2,3,3,10
B4,B,2,4,4,14
B5,B,2,5,3,9
B6,B,2,6,4,13
B7,B,2,7,3,10
B8,B,2,8,4,14
B9,B,2,9,3,9
B10,B,2,10,4,13
B11,B,2,11,3,10
B12,B,2,12,4,14
B13,B,2,13,3,9
B14,B,2,14,4,13
B15,B,2,15,3,10
B16,B,2,16,4,14
B17,B,2,17,3,9
B18,B,2,18,4,13
B19,B,2,19,3,10
B20,B,2,20,4,14
B21,B,2,21,3,9
B22,B,2,22,4,13
B23,B,2,23,3,10
B24,B,2,24,4,14
B25,B,2,25,3,9
B26,B,2,26,4,13
B27,B,2,27,3,10
B28,B,2,28,4,14
B29,B,2,29,3,9
B30,B,2,30,4,13
B31,B,2,31,3,10
B32,B,2,32,4,14
B33,B,2,33,3,9
B34,B,2,34,4,13
B35,B,2,35,3,10
B36,B,2,36,4,14
B37,B,2,37,3,9
B38,B,2,38,4,13
B39,B,2,39,3,10
B40,B,2,40,4,14
B41,B,2,41,3,9
B42,B,2,42,4,13
B43,B,2,43,3,10
B44,B,2,44,4,14
B45,B,2,45,3,9
B46,B,2,46,4,13
B47,B,2,47,3,10
B48,B,2,48,4,14
C1,C,3,1,1,3
C2,C,3,2,2,7
C3,C,3,3,1,4
C4,C,3,4,2,8
C5,C,3,5,1,3
C6,C,3,6,2,7
C7,C,3,7,1,4
C8,C,3,8,2,8
C9,C,3,9,1,3
C10,C,3,10,2,7
C11,C,3,11,1,4
C12,C,3,12,2,8
C13,C,3,13,1,3
C14,C,3,14,2,7
C15,C,3,15,1,4
C16,C,3,16,2,8
C17,C,3,17,1,3
C18,C,3,18,2,7
C19,C,3,19,1,4
C20,C,3,20,2,8
C21,C,3,21,1,3
