Well,Row,Row Number,Column,Quadrant
A1,A,1,1,1
A2,A,1,2,2
A3,A,1,3,1
A4,A,1,4,2
A5,A,1,5,1
A6,A,1,6,2
A7,A,1,7,1
A8,A,1,8,2
A9,A,1,9,1
A10,A,1,10,2
A11,A,1,11,1
A12,A,1,12,2
A13,A,1,13,1
A14,A,1,14,2
A15,A,1,15,1
A16,A,1,16,2
A17,A,1,17,1
A18,A,1,18,2
A19,A,1,19,1
A20,A,1,20,2
A21,A,1,21,1
A22,A,1,22,2
A23,A,1,23,1
A24,A,1,24,2
B1,B,2,1,3
B2,B,2,2,4
B3,B,2,3,3
B4,B,2,4,4
B5,B,2,5,3
B6,B,2,6,4
B7,B,2,7,3
B8,B,2,8,4
B9,B,2,9,3
B10,B,2,10,4
B11,B,2,11,3
B12,B,2,12,4
B13,B,2,13,3
B14,B,2,14,4
B15,B,2,15,3
B16,B,2,16,4
B17,B,2,17,3
B18,B,2,18,4
B19,B,2,19,3
B20,B,2,20,4
B21,B,2,21,3
B22,B,2,22,4
B23,B,2,23,3
B24,B,2,24,4
C1,C,3,1,1
C2,C,3,2,2
C3,C,3,3,1
C4,C,3,4,2
C5,C,3,5,1
C6,C,3,6,2
C7,C,3,7,1
C8,C,3,8,2
C9,C,3,9,1
C10,C,3,10,2
C11,C,3,11,1
C12,C,3,12,2
C13,C,3,13,1
C14,C,3,14,2
C15,C,3,15,1
C16,C,3,16,2
C17,C,3,17,1
C18,C,3,18,2
C19,C,3,19,1
C20,C,3,20,2
C21,C,3,21,1
C22,C,3,22,2
C23,C,3,23,1
C24,C,3,24,2
D1,D,4,1,3
D2,D,4,2,4
D3,D,4,3,3
D4,D,4,4,4
D5,D,4,5,3
D6,D,4,6,4
D7,D,4,7,3
D8,D,4,8,4
D9,D,4,9,3
D10,D,4,10,4
D11,D,4,11,3
D12,D,4,12,4
D13,D,4,13,3
D14,D,4,14,4
D15,D,4,15,3
D16,D,4,16,4
D17,D,4,17,3
D18,D,4,18,4
D19,D,4,19,3
D20,D,4,20,4
D21,D,4,21,3
D22,D,4,22,4
D23,D,4,23,3
D24,D,4,24,4
E1,E,5,1,1
E2,E,5,2,2
E3,E,5,3,1
E4,E,5,4,2
E5,E,5,5,1
E6,E,5,6,2
E7,E,5,7,1
E8,E,5,8,2
E9,E,5,9,1
E10,E,5,10,2
E11,E,5,11,1
E12,E,5,12,2
E13,E,5,13,1
E14,E,5,14,2
E15,E,5,15,1
E16,E,5,16,2
E17,E,5,17,1
E18,E,5,18,2
E19,E,5,19,1
E20,E,5,20,2
E21,E,5,21,1
E22,E,5,22,2
E23,E,5,23,1
E24,E,5,24,2
F1,F,6,1,3
F2,F,6,2,4
F3,F,6,3,3
F4,F,6,4,4
F5,F,6,5,3
F6,F,6,6,4
F7,F,6,7,3
F8,F,6,8,4
F9,F,6,9,3
F10,F,6,10,4
F11,F,6,11,3
F12,F,6,12,4
F13,F,6,13,3
F14,F,6,14,4
F15,F,6,15,3
F16,F,6,16,4
F17,F,6,17,3
F18,F,6,18,4
F19,F,6,19,3
F20,F,6,20,4
F21,F,6,21,3
F22,F,6,22,4
F23,F,6,23,3
F24,F,6,24,4
G1,G,7,1,1
G2,G,7,2,2
G3,G,7,3,1
G4,G,7,4,2
G5,G,7,5,1
G6,G,7,6,2
G7,G,7,7,1
G8,G,7,8,2
G9,G,7,9,1
G10,G,7,10,2
G11,G,7,11,1
G12,G,7,12,2
G13,G,7,13,1
G14,G,7,14,2
G15,G,7,15,1
G16,G,7,16,2
G17,G,7,17,1
G18,G,7,18,2
G19,G,7,19,1
G20,G,7,20,2
G21,G,7,21,1
G22,G,7,22,2
G23,G,7,23,1
G24,G,7,24,2
H1,H,8,1,3
H2,H,8,2,4
H3,H,8,3,3
H4,H,8,4,4
H5,H,8,5,3
H6,H,8,6,4
H7,H,8,7,3
H8,H,8,8,4
H9,H,8,9,3
H10,H,8,10,4
H11,H,8,11,3
H12,H,8,12,4
H13,H,8,13,3
H14,H,8,14,4
H15,H,8,15,3
H16,H,8,16,4
H17,H,8,17,3
H18,H,8,18,4
H19,H,8,19,3
H20,H,8,20,4
H21,H,8,21,3
H22,H,8,22,4
H23,H,8,23,3
H24,H,8,24,4
I1,I,9,1,1
I2,I,9,2,2
I3,I,9,3,1
I4,I,9,4,2
I5,I,9,5,1
I6,I,9,6,2
I7,I,9,7,1
I8,I,9,8,2
I9,I,9,9,1
I10,I,9,10,2
I11,I,9,11,1
I12,I,9,12,2
I13,I,9,13,1
I14,I,9,14,2
I15,I,9,15,1
I16,I,9,16,2
I17,I,9,17,1
I18,I,9,18,2
I19,I,9,19,1
I20,I,9,20,2
I21,I,9,21,1
I22,I,9,22,2
I23,I,9,23,1
I24,I,9,24,2
J1,J,10,1,3
J2,J,10,2,4
J3,J,10,3,3
J4,J,10,4,4
J5,J,10,5,3
J6,J,10,6,4
J7,J,10,7,3
J8,J,10,8,4
J9,J,10,9,3
J10,J,10,10,4
J11,J,10,11,3
J12,J,10,12,4
J13,J,10,13,3
J14,J,10,14,4
J15,J,10,15,3
J16,J,10,16,4
J17,J,10,17,3
J18,J,10,18,4
J19,J,10,19,3
J20,J,10,20,4
J21,J,10,21,3
J22,J,10,22,4
J23,J,10,23,3
J24,J,10,24,4
K1,K,11,1,1
K2,K,11,2,2
K3,K,11,3,1
K4,K,11,4,2
K5,K,11,5,1
K6,K,11,6,2
K7,K,11,7,1
K8,K,11,8,2
K9,K,11,9,1
K10,K,11,10,2
K11,K,11,11,1
K12,K,11,12,2
K13,K,11,13,1
K14,K,11,14,2
K15,K,11,15,1
K16,K,11,16,2
K17,K,11,17,1
K18,K,11,18,2
K19,K,11,19,1
K20,K,11,20,2
K21,K,11,21,1
K22,K,11,22,2
K23,K,11,23,1
K24,K,11,24,2
L1,L,12,1,3
L2,L,12,2,4
L3,L,12,3,3
L4,L,12,4,4
L5,L,12,5,3
L6,L,12,6,4
L7,L,12,7,3
L8,L,12,8,4
L9,L,12,9,3
L10,L,12,10,4
L11,L,12,11,3
L12,L,12,12,4
L13,L,12,13,3
L14,L,12,14,4
L15,L,12,15,3
L16,L,12,16,4
L17,L,12,17,3
L18,L,12,18,4
L19,L,12,19,3
L20,L,12,20,4
L21,L,12,21,3
L22,L,12,22,4
L23,L,12,23,3
L24,L,12,24,4
M1,M,13,1,1
M2,M,13,2,2
M3,M,13,3,1
M4,M,13,4,2
M5,M,13,5,1
M6,M,13,6,2
M7,M,13,7,1
M8,M,13,8,2
M9,M,13,9,1
M10,M,13,10,2
M11,M,13,11,1
M12,M,13,12,2
M13,M,13,13,1
M14,M,13,14,2
M15,M,13,15,1
M16,M,13,16,2
M17,M,13,17,1
M18,M,13,18,2
M19,M,13,19,1
M20,M,13,20,2
M21,M,13,21,1
M22,M,13,22,2
M23,M,13,23,1
M24,M,13,24,2
N1,N,14,1,3
N2,N,14,2,4
N3,N,14,3,3
N4,N,14,4,4
N5,N,14,5,3
N6,N,14,6,4
N7,N,14,7,3
N8,N,14,8,4
N9,N,14,9,3
N10,N,14,10,4
N11,N,14,11,3
N12,N,14,12,4
N13,N,14,13,3
N14,N,14,14,4
N15,N,14,15,3
N16,N,14,16,4
N17,N,14,17,3
N18,N,14,18,4
N19,N,14,19,3
N20,N,14,20,4
N21,N,14,21,3
N22,N,14,22,4
N23,N,14,23,3
N24,N,14,24,4
O1,O,15,1,1
O2,O,15,2,2
O3,O,15,3,1
O4,O,15,4,2
O5,O,15,5,1
O6,O,15,6,2
O7,O,15,7,1
O8,O,15,8,2
O9,O,15,9,1
O10,O,15,10,2
O11,O,15,11,1
O12,O,15,12,2
O13,O,15,13,1
O14,O,15,14,2
O15,O,15,15,1
O16,O,15,16,2
O17,O,15,17,1
O18,O,15,18,2
O19,O,15,19,1
O20,O,15,20,2
O21,O,15,21,1
O22,O,15,22,2
O23,O,15,23,1
O24,O,15,24,2
P1,P,16,1,3
P2,P,16,2,4
P3,P,16,3,3
P4,P,16,4,4
P5,P,16,5,3
P6,P,16,6,4
P7,P,16,7,3
P8,P,16,8,4
P9,P,16,9,3
P10,P,16,10,4
P11,P,16,11,3
P12,P,16,12,4
P13,P,16,13,3
P14,P,16,14,4
P15,P,16,15,3
P16,P,16,16,4
P17,P,16,17,3
P18,P,16,18,4
P19,P,16,19,3
